sample,fastq_1,fastq_2
HP11,s3://company-bucket/azenta/40-1019621736/00_fastq/HP11_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP11_R2_001.fastq.gz
HP12,s3://company-bucket/azenta/40-1019621736/00_fastq/HP12_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP12_R2_001.fastq.gz
HP13,s3://company-bucket/azenta/40-1019621736/00_fastq/HP13_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP13_R2_001.fastq.gz
HP14,s3://company-bucket/azenta/40-1019621736/00_fastq/HP14_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP14_R2_001.fastq.gz
HP15,s3://company-bucket/azenta/40-1019621736/00_fastq/HP15_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP15_R2_001.fastq.gz
HP16,s3://company-bucket/azenta/40-1019621736/00_fastq/HP16_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP16_R2_001.fastq.gz
HP17,s3://company-bucket/azenta/40-1019621736/00_fastq/HP17_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP17_R2_001.fastq.gz
HP18,s3://company-bucket/azenta/40-1019621736/00_fastq/HP18_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP18_R2_001.fastq.gz
HP19,s3://company-bucket/azenta/40-1019621736/00_fastq/HP19_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP19_R2_001.fastq.gz
HP20,s3://company-bucket/azenta/40-1019621736/00_fastq/HP20_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP20_R2_001.fastq.gz
HP21,s3://company-bucket/azenta/40-1019621736/00_fastq/HP21_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP21_R2_001.fastq.gz
HP22,s3://company-bucket/azenta/40-1019621736/00_fastq/HP22_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP22_R2_001.fastq.gz
HP23,s3://company-bucket/azenta/40-1019621736/00_fastq/HP23_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP23_R2_001.fastq.gz
HP24,s3://company-bucket/azenta/40-1019621736/00_fastq/HP24_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP24_R2_001.fastq.gz
HP26,s3://company-bucket/azenta/40-1019621736/00_fastq/HP26_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP26_R2_001.fastq.gz
HP28,s3://company-bucket/azenta/40-1019621736/00_fastq/HP28_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP28_R2_001.fastq.gz
HP29,s3://company-bucket/azenta/40-1019621736/00_fastq/HP29_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP29_R2_001.fastq.gz
HP30,s3://company-bucket/azenta/40-1019621736/00_fastq/HP30_R1_001.fastq.gz,s3://company-bucket/azenta/40-1019621736/00_fastq/HP30_R2_001.fastq.gz
